Name,Action-Adventure,RPG,Shooter,Sandbox,Sports/Racing,Platformer,Amount Spent on Marketing,Instagram Followers,Revenue,PC,PlayStation,Xbox,App Store,Google Play,Nintendo Switch,Max Frame Rate,Metacritic Score,Prior Games' Review Scores (Metacritic),Multiplayer,Singleplayer,Disposable Income at Time of Release
Grand Theft Auto V,1,0,0,0,0,0,150000000,27700000,7700000000,1,1,1,0,0,0,60,97,85.1,1,1,39137
The Witcher 3: Wild Hunt,1,0,0,0,0,0,35000000,800400,333000000,1,1,1,0,0,1,60,92,83.5,0,1,41290
Assassin’s Creed Valhalla,1,0,0,0,0,0,35000000,8200000,1000000000,1,1,1,0,0,0,60,80,83.5,0,1,46755
Sekiro: Shadows Die Twice,1,0,0,0,0,0,,156700,220000000,1,1,1,0,0,0,60,90,75,0,1,44647
Stardew Valley,0,1,0,0,0,0,,5500,145000000,1,1,1,1,1,1,60,89,,1,1,41850
Hades,0,1,0,0,0,0,,56600,256822030,1,1,1,1,9,1,60,93,84.7,0,1,44650
Monster Hunter: World,0,1,0,0,0,0,,551400,150000000,1,1,1,0,0,0,60,90,77.7,1,1,43332
Overwatch 2,0,0,1,0,0,0,100000000,923300,1000000000,1,1,1,0,0,1,60,79,91,1,0,48553
DOOM Eternal,0,0,1,0,0,0,,300600,450000000,1,1,1,0,0,1,60,88,81.4,0,1,44760
Fortnite,0,0,1,0,0,0,100000000,25300000,26000000000,1,1,1,0,0,1,120,78,84.5,1,0,42821
Minecraft,0,0,0,1,0,0,0,9300000,11000000000,1,1,1,1,1,1,144,82,,1,1,38666
Outer Wilds,0,0,0,1,0,0,,34000,29200000,1,1,1,0,0,1,60,85,,0,1,44433
Rocket League,0,0,0,0,1,0,100000000,1400000,943000000,1,1,1,1,1,1,120,85,,1,1,41355
FIFA 23,0,0,0,0,1,0,227000000,31800000,7450000000,1,1,1,1,1,1,120,76,79.2,1,1,48461
NBA 2K23,0,0,0,0,1,0,100000000,5500000,29743431,1,1,1,0,0,1,60,78,76.8,1,1,48461
Tony Hawk’s Pro Skater 1 + 2,0,0,0,0,1,0,,96300,1400000000,1,1,1,0,0,1,60,89,81.2,0,1,47603
Hollow Knight,0,0,0,0,0,1,,14600,195574890,1,1,1,0,0,1,144,90,,1,1,42301
Celeste,0,0,0,0,0,1,,2922,85011873,1,1,1,0,0,1,60,92,,1,1,43332
Cuphead,0,0,0,0,0,1,,4000,51000000,1,1,1,0,0,1,60,86,,1,1,42863
Crash Bandicoot 4: It’s About Time,0,0,0,0,0,1,,312200,1149265,1,1,1,0,0,1,60,85,69.2,1,1,47381
